event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-01 00:00:00 UTC,view,44600062,2.10381E+18,,shiseido,35.79,541312140,72d76fde-8bb3-4e00-8c23-a032dfed738c
2019-11-01 00:00:00 UTC,view,3900821,2.05301E+18,appliances.environment.water_heater,aqua,33.2,554748717,9333dfbd-b87a-4708-9857-6336556b0fcc
2019-11-01 00:00:01 UTC,view,17200506,2.05301E+18,furniture.living_room.sofa,,543.1,519107250,566511c2-e2e3-422b-b695-cf8e6e792ca8
2019-11-01 00:00:01 UTC,view,1307067,2.05301E+18,computers.notebook,lenovo,251.74,550050854,7c90fc70-0e80-4590-96f3-13c02c18c713
2019-11-01 00:00:04 UTC,view,1004237,2.05301E+18,electronics.smartphone,apple,1081.98,535871217,c6bd7419-2748-4c56-95b4-8cec9ff8b80d
2019-11-01 00:00:05 UTC,view,1480613,2.05301E+18,computers.desktop,pulser,908.62,512742880,0d0d91c2-c9c2-4e81-90a5-86594dec0db9
2019-11-01 00:00:08 UTC,view,17300353,2.05301E+18,,creed,380.96,555447699,4fe811e9-91de-46da-90c3-bbd87ed3a65d
2019-11-01 00:00:08 UTC,view,31500053,2.05301E+18,,luminarc,41.16,550978835,6280d577-25c8-4147-99a7-abc6048498d6
2019-11-01 00:00:10 UTC,view,28719074,2.05301E+18,apparel.shoes.keds,baden,102.71,520571932,ac1cd4e5-a3ce-4224-a2d7-ff660a105880
2019-11-01 00:00:11 UTC,view,1004545,2.05301E+18,electronics.smartphone,huawei,566.01,537918940,406c46ed-90a4-4787-a43b-59a410c1a5fb
2019-11-01 00:00:11 UTC,view,2900536,2.05301E+18,appliances.kitchen.microwave,elenberg,51.46,555158050,b5bdd0b3-4ca2-4c55-939e-9ce44bb50abd
2019-11-01 00:00:11 UTC,view,1005011,2.05301E+18,electronics.smartphone,samsung,900.64,530282093,50a293fb-5940-41b2-baf3-17af0e812101
2019-11-01 00:00:13 UTC,view,3900746,2.05301E+18,appliances.environment.water_heater,haier,102.38,555444559,98b88fa0-d8fa-4b9d-8a71-3dd403afab85
2019-11-01 00:00:15 UTC,view,44600062,2.10381E+18,,shiseido,35.79,541312140,72d76fde-8bb3-4e00-8c23-a032dfed738c
2019-11-01 00:00:16 UTC,view,13500240,2.05301E+18,furniture.bedroom.bed,brw,93.18,555446365,7f0062d8-ead0-4e0a-96f6-43a0b79a2fc4
2019-11-01 00:00:17 UTC,view,23100006,2.05301E+18,,,357.79,513642368,17566c27-0a8f-4506-9f30-c6a2ccbf583b
2019-11-01 00:00:18 UTC,view,1801995,2.05301E+18,electronics.video.tv,haier,193.03,537192226,e3151795-c355-4efa-acf6-e1fe1bebeee5
2019-11-01 00:00:18 UTC,view,10900029,2.05301E+18,appliances.kitchen.mixer,bosch,58.95,519528062,901b9e3c-3f8f-4147-a442-c25d5c5ed332
2019-11-01 00:00:19 UTC,view,1306631,2.05301E+18,computers.notebook,hp,580.89,550050854,7c90fc70-0e80-4590-96f3-13c02c18c713
2019-11-01 00:00:19 UTC,view,1005135,2.05301E+18,electronics.smartphone,apple,1747.79,535871217,c6bd7419-2748-4c56-95b4-8cec9ff8b80d
2019-11-01 00:00:20 UTC,view,1003306,2.05301E+18,electronics.smartphone,apple,588.77,555446831,6ec635da-ea15-4a5d-96b4-c8ca9d38f89f
2019-11-01 00:00:20 UTC,view,4803399,2.05301E+18,electronics.audio.headphone,jbl,33.21,555428858,8a6afed4-77f8-40c9-8e76-e062b28216ce
